trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'a': 0.1999999999999997, 'e': 0.2566607769535559}",20,0,11.759345067290653,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
70,False,"{'a': 0.1999999999999997, 'e': 0.25157855305975646}",20,2,-10.99005351252182,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
71,False,"{'a': 0.1999999999999997, 'e': 0.24659696394160643}",25,13,8.155082427979574,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.1999999999999997, 'e': 0.24171401689703645}",25,5,11.620115350185815,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.1999999999999997, 'e': 0.23692775868212176}",20,0,-5.382039083200613,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
74,False,"{'a': 0.1999999999999997, 'e': 0.23223627472975883}",20,0,34.2149399029356,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.1999999999999997, 'e': 0.22763768838381274}",30,0,40.01088342106889,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
76,False,"{'a': 0.1999999999999997, 'e': 0.22313016014842982}",20,0,-20.50865733149834,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.1999999999999997, 'e': 0.21871188695221475}",20,15,2.7700439055567507,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1999999999999997, 'e': 0.21438110142697794}",20,0,-21.0422792491478,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
79,False,"{'a': 0.1999999999999997, 'e': 0.21013607120076472}",20,0,-7.754943387784579,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
80,False,"{'a': 0.1999999999999997, 'e': 0.20597509820488344}",20,10,4.364476850015885,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
81,False,"{'a': 0.1999999999999997, 'e': 0.20189651799465538}",25,17,12.745893196690984,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
